"ARID","JDATE","TIME","STA","CHAN","BMTYP","SPROID","CFREQ","SEAZ","DELAZ","SLOW","DELSLO","SNR","STAV","FSTAT","DELTIM","BANDW","FKQUAL","COMMID","LDDATE"
164332774,2021273,1633002867.025,GERES,GE_085,coh,-1,3,103.73157,3.5119824,0.15700933,0.0096224835,7.8311663,0.21958534,27.000082,1.2577029,2,2,-1,2021-09-30 12:06:28
164332775,2021273,1633002883.675,GERES,GE_097,coh,-1,3,100.11306,1.936757,0.26819747,0.0090653902,7.825078,0.24319494,30.420506,1.258238,2,1,-1,2021-09-30 12:06:28
164334324,2021273,1633007616.7,GERES,GE_001,coh,-1,1.5,102.72436,31.065838,0.038136571,0.020425336,4.2821102,0.14156149,23.969612,1.6731029,1,3,-1,2021-09-30 13:26:15
164334325,2021273,1633007827.55,GERES,GE_003,coh,-1,1.5,92.862405,23.692615,0.048059931,0.01973217,4.4261293,0.13145155,25.683235,1.6503399,1,2,-1,2021-09-30 13:26:15
164334326,2021273,1633007838.575,GERES,GE_001,coh,-1,1.5,90,125.08597,0.011999992,0.021296554,5.3628979,0.16431256,22.048586,1.5182335,1,1,-1,2021-09-30 13:26:15
164334327,2021273,1633007843.925,GERES,GE_003,coh,-1,1.5,51.170175,19.288799,0.063156906,0.021161701,3.7470264,0.12329467,22.330491,1.72,1,1,-1,2021-09-30 13:26:15
164334328,2021273,1633007849.4,GERES,GE_003,coh,-1,1.5,83.290163,26.970536,0.041081356,0.019159961,3.5988557,0.14130636,27.240193,1.72,1,2,-1,2021-09-30 13:26:15
164334798,2021273,1633008845.575,GERES,GE_050,coh,-1,2,63.561709,5.533716,0.24256909,0.023418598,5.3803115,0.15647985,10.256524,1.5160027,1.3333333,3,-1,2021-09-30 13:46:34
164334799,2021273,1633008856.075,GERES,GE_016,coh,-1,1.5,62.365235,2.7759816,0.25871326,0.012533437,10.245209,0.38006842,63.658895,1.0728034,1,1,-1,2021-09-30 13:46:34
164336031,2021273,1633013047.925,GERES,GE_010,coh,-1,1.5,146.13631,5.1595338,0.10983107,0.0098870401,6.6149883,0.14920852,102.29793,1.3738408,1,1,-1,2021-09-30 14:56:22
164339637,2021273,1633025629.925,GERES,GE_002,coh,-1,1.5,36.702855,14.971401,0.082320296,0.021449171,3.4780266,0.069621846,21.735939,1.72,1,1,-1,2021-09-30 18:28:15
164342245,2021273,1633037217.775,GERES,GE_027,coh,-1,2,15.068488,17.520089,0.064621935,0.019683409,4.4652395,0.068839826,14.518485,1.6442861,1.3333333,2,-1,2021-09-30 21:36:18
164357594,2021274,1633098165.925,GERES,GE_040,coh,-1,2,61.363524,5.7955958,0.13193723,0.013340056,6.2140255,0.17955592,31.608701,1.4168689,1.3333333,1,-1,2021-10-01 14:38:27
164357595,2021274,1633098214.2,GERES,GE_096,coh,-1,3,62.417971,2.7209914,0.27212744,0.012922188,5.9438443,0.22149734,14.971569,1.4474582,2,1,-1,2021-10-01 14:38:27
164357596,2021274,1633098219.25,GERES,GE_043,coh,-1,2,65.415131,3.2030592,0.20190321,0.011285713,4.1718183,0.10714533,44.163548,1.6910589,1.3333333,1,-1,2021-10-01 14:38:27
164357597,2021274,1633098270.1,GERES,GE_001,coh,-1,1.5,352.64762,6.7571307,0.037508374,0.0044209563,29.237076,0.74634451,511.64294,0.685,1,1,-1,2021-10-01 14:38:27
164357598,2021274,1633098283.85,GERES,GE_031,coh,-1,2,353.29016,4.4490356,0.041081356,0.0031891791,15.385279,1.2219409,553.04968,0.79300924,1.3333333,1,-1,2021-10-01 14:38:27
164357599,2021274,1633098290.125,GERES,GE_004,coh,-1,1.5,350.53768,11.778995,0.036496551,0.007489837,6.863781,0.79423898,178.26032,1.3484348,1,1,-1,2021-10-01 14:38:27
164357600,2021274,1633098542.925,GERES,GE_118,coh,-1,4.5,20.869348,6.2532022,0.20548037,0.022414787,5.0815554,0.13819249,2.2115037,1.5553148,3,4,-1,2021-10-01 14:38:27
164357601,2021274,1633098645.95,GERES,GE_089,coh,-1,3,195.90223,3.1035298,0.1598371,0.0086568078,9.4535398,0.19115472,33.359834,1.1281433,2,1,-1,2021-10-01 14:38:27
164358705,2021274,1633102422.5,GERES,GE_114,coh,-1,4.5,125.28675,3.9229505,0.28666924,0.019623951,9.2037668,0.24232216,2.8852537,1.146569,3,4,-1,2021-10-01 15:46:27
164358706,2021274,1633102719.025,GERES,GE_042,coh,-1,2,141.95296,7.0342566,0.10514212,0.012900291,6.954567,0.1614664,33.800483,1.3393927,1.3333333,1,-1,2021-10-01 15:46:27
164358707,2021274,1633102724.225,GERES,GE_005,coh,-1,1.5,146.48199,13.506186,0.11082953,0.026065112,3.523741,0.092986435,14.719066,1.72,1,3,-1,2021-10-01 15:46:27
164358708,2021274,1633102729.55,GERES,GE_010,coh,-1,1.5,145.87145,6.1883896,0.13046922,0.014084841,4.6648755,0.14773504,50.407539,1.6141885,1,1,-1,2021-10-01 15:46:27
164327062,2021273,1632985441,GERES,GE_092,coh,-1,3,285.6494,5.1421602,0.14675138,0.013166168,5.8643336,0.137043,14.421839,1.4567254,2,2,-1,2021-09-30 07:24:10
164327063,2021273,1632985460.55,GERES,GE_104,coh,-1,3,302.55,4.3973493,0.26764018,0.020535867,10.815075,0.29063055,5.9280703,1.0355543,2,3,-1,2021-09-30 07:24:10
164337351,2021273,1633018089.4,GERES,GE_026,coh,-1,2,45,54.236993,0.018667607,0.017018595,5.42173,0.094505757,19.421133,1.5107256,1.3333333,3,-1,2021-09-30 16:16:20
164347925,2021274,1633060800.375,GERES,GE_041,coh,-1,2,57.171458,38.49849,0.044270051,0.029189742,4.113142,0.10339458,6.6017861,1.7008061,1.3333333,3,-1,2021-10-01 04:16:08
164349184,2021274,1633066938.6,GERES,GE_056,coh,-1,2,258.63178,3.601091,0.23133856,0.014537442,10.806771,0.27461109,26.616193,1.0360829,1.3333333,2,-1,2021-10-01 05:56:27
164327141,2021273,1632986382.85,GERES,GE_047,coh,-1,2,334.52815,4.4451288,0.14976594,0.011616247,8.0236006,0.20362611,41.686005,1.2409979,1.3333333,1,-1,2021-09-30 07:26:34
164327142,2021273,1632986402.55,GERES,GE_105,coh,-1,3,337.95489,3.2956461,0.24926923,0.014335959,7.5599666,0.19974437,12.164267,1.2819558,2,2,-1,2021-09-30 07:26:34
164327143,2021273,1632986420.775,GERES,GE_025,coh,-1,1.5,328.55945,2.7644739,0.29677123,0.014317577,5.6939859,0.24971847,48.782086,1.4770104,1,2,-1,2021-09-30 07:26:34
164327909,2021273,1632988710.775,GERES,GE_077,coh,-1,3,154.81286,4.703034,0.12283647,0.010080008,6.7497563,0.18837516,24.604678,1.3599624,2,1,-1,2021-09-30 08:06:24
164327910,2021273,1632988730.575,GERES,GE_006,coh,-1,1.5,138.0587,15.288103,0.11131569,0.029614081,3.4790838,0.098441511,11.402575,1.72,1,3,-1,2021-09-30 08:06:24
164327911,2021273,1632988738.35,GERES,GE_012,coh,-1,1.5,351.46923,51.592609,0.024268482,0.021121978,5.2058959,0.16688466,22.414562,1.5386796,1,1,-1,2021-09-30 08:06:24
164327912,2021273,1632988750.6,GERES,GE_053,coh,-1,2,143.29779,2.9196691,0.21706302,0.011059865,6.7052674,0.28387055,45.985643,1.364513,1.3333333,1,-1,2021-09-30 08:06:24
164328772,2021273,1632990716.125,GERES,GE_040,coh,-1,2,60.794538,6.662582,0.22133724,0.02572348,4.1156797,0.12168747,8.5008533,1.7003817,1.3333333,3,-1,2021-09-30 08:48:07
164328773,2021273,1632991090.625,GERES,GE_082,coh,-1,3,355.67607,3.0074481,0.14321008,0.0075162158,12.651981,0.37303132,44.25282,0.9276055,2,1,-1,2021-09-30 08:48:07
164328774,2021273,1632991112.85,GERES,GE_094,coh,-1,3,354.71575,2.4146174,0.24218028,0.010205454,12.955029,0.52305591,24.003511,0.91131735,2,1,-1,2021-09-30 08:48:07
