"STA","TIME","ARID","JDATE","STASSID","CHANID","CHAN","IPHASE","STYPE","DELTIM","AZIMUTH","DELAZ","SLOW","DELSLO","EMA","RECT","AMP","PER","LOGAT","CLIP","FM","SNR","QUAL","AUTH","COMMID","LDDATE"
GERES,1633088210.45,164354590,2021274,10478485,-1,GE_108,Pg,-,1.4316825,19.176569,4.0651831,16.525451,1.1722486,-1,-1,0.9025637,0.22222222,-999,-,-,6.0816841,"2",,-1,2021-10-01 11:46:08
GERES,1633088215.7,164354591,2021274,-1,-1,GE_097,Sx,-,1.0627198,73.403306,2.571576,27.842382,1.2495299,-1,-1,1.2289976,0.33333333,-999,-,-,10.396442,"1",,-1,2021-10-01 11:46:08
GERES,1633088226.4,164354592,2021274,10478485,-1,GE_048,Lg,-,1.3981029,15.154068,3.1773435,26.542283,1.4717165,-1,-1,1.2873703,0.5,-999,-,-,6.3858204,"2",,-1,2021-10-01 11:46:08
GERES,1633093262.1,164355913,2021274,10478545,-1,GE_003,P,-,1.6184475,95.710593,23.932127,5.3639769,2.2242512,-1,-1,0.60490391,0.66666667,-999,-,-,4.6360927,"2",,-1,2021-10-01 13:16:13
GERES,1632994354.45,164330032,2021273,10477277,-1,GE_047,Pn,-,1.2523426,329.4594,4.0568553,15.492706,1.0967394,-1,-1,1.2743197,0.5,-999,-,-,7.8924065,"1",,-1,2021-09-30 09:46:14
GERES,1632994395.05,164330033,2021273,10477277,-1,GE_025,Lg,-,1.4980862,330.6936,3.3857581,32.439812,1.9166748,-1,-1,0.99157647,0.66666667,-999,-,-,5.5222359,"1",,-1,2021-09-30 09:46:14
GERES,1633077243.2,164351728,2021274,-1,-1,GE_060,N,-,1.6080919,26.035775,3.0449768,25.83971,1.3730865,-1,-1,0.6684541,0.33333333,-999,-,-,4.7063885,"1",,-1,2021-10-01 08:46:28
GERES,1633077543.575,164351729,2021274,10478358,-1,GE_086,Pg,-,1.6319776,124.75225,5.1112277,19.457296,1.7351662,-1,-1,0.50200666,0.33333333,-999,-,-,4.5458279,"2",,-1,2021-10-01 08:46:28
GERES,1633077561.525,164351730,2021274,10478358,-1,GE_098,Lg,-,1.5507768,129.06688,3.3912552,24.976342,1.4780982,-1,-1,0.84563355,0.33333333,-999,-,-,5.1151772,"1",,-1,2021-10-01 08:46:28
GERES,1633077793.15,164351876,2021274,-1,-1,GE_049,N,-,1.4133389,32.262169,4.1677704,25.247234,1.8361121,-1,-1,1.034298,0.5,-999,-,-,6.245985,"2",,-1,2021-10-01 08:58:20
GERES,1633077799.15,164351877,2021274,-1,-1,GE_049,N,-,1.5018464,32.101249,3.8823031,25.360167,1.7180502,-1,-1,0.97669034,0.5,-999,-,-,5.4921422,"2",,-1,2021-10-01 08:58:20
GERES,1633078003.625,164351878,2021274,-1,-1,GE_082,N,-,1.3572681,353.75835,4.820194,15.831084,1.3314487,-1,-1,0.60021569,0.33333333,-999,-,-,6.7762361,"2",,-1,2021-10-01 08:58:20
